query,match_type,impressions,clicks,Currency code,avg_cpc,keyword_group,ctr,opportunity_clicks
copilot,Broad match,2060,47,USD,0.1,coding ai,0.0228,2013
inteligencia artificial,Broad match,694,20,USD,0.24,ai programs,0.0288,674
blackbox ai,Phrase match (close variant),670,25,USD,0.2,ai software,0.0373,645
copilot,Broad match,388,2,USD,0.31,AI software tools,0.0052,386
inteligência artificial,Broad match,312,23,USD,0.31,ai programs,0.0737,289
copilot ai,Broad match,260,6,USD,0.64,ai software,0.0231,254
blackbox ai,Broad match,243,6,USD,0.15,ai software,0.0247,237
ia para programar,Broad match,230,27,USD,0.21,ai software,0.1174,203
ia gratis,Broad match,217,16,USD,0.19,ai software,0.0737,201
lumalabs ai,Broad match,207,7,USD,0.11,ai apps,0.0338,200
ai code generator,Phrase match (close variant),186,12,USD,0.25,ai software,0.0645,174
gemini ai,Broad match,178,1,USD,0.1,AI software tools,0.0056,177
devin ai,Broad match,178,29,USD,0.14,ai software,0.1629,149
copilot,Broad match,159,4,USD,0.1,AI development tools,0.0252,155
coding ai,Exact match,154,13,USD,0.47,coding ai,0.0844,141
code ai,Broad match,150,6,USD,0.17,ai software,0.04,144
luma labs ai,Broad match,150,3,USD,0.21,ai apps,0.02,147
ia para crear imagenes,Broad match,147,13,USD,0.1,AI software tools,0.0884,134
inteligencia artificial para crear imagenes,Broad match,140,12,USD,0.1,AI software tools,0.0857,128
humanize ai,Broad match,136,14,USD,0.54,ai tools,0.1029,122
copilot,Broad match,136,6,USD,0.1,AI coding tools,0.0441,130
generador de imagenes ia,Broad match,132,15,USD,0.1,AI software tools,0.1136,117
yapay zeka uygulamaları,Phrase match (close variant),131,7,USD,0.1,ai apps,0.0534,124
ia de programação,Broad match,118,19,USD,0.35,ai software,0.161,99
ia para programação,Broad match,115,25,USD,0.35,ai programs,0.2174,90
black box ai,Phrase match (close variant),114,3,USD,0.25,ai software,0.0263,111
codeium,Broad match,114,2,USD,0.3,coding ai,0.0175,112
copilot ai,Broad match,103,1,USD,0.25,AI software tools,0.0097,102
melhor ia para programação,Broad match,103,21,USD,0.31,ai programs,0.2039,82
gemini ai,Broad match,92,3,USD,0.1,ai apps,0.0326,89
galileo ai,Broad match,83,1,USD,0.1,ai software,0.012,82
ia para programar gratis,Broad match,82,8,USD,0.36,ai programs,0.0976,74
ia para programação,Broad match,80,21,USD,0.49,artificial intelligence programming,0.2625,59
viggle ai,Broad match,79,4,USD,0.1,ai apps,0.0506,75
ia programação,Broad match,75,12,USD,0.29,ai software,0.16,63
ideogram ai,Broad match,73,5,USD,0.26,AI software tools,0.0685,68
leonardo ia,Broad match,73,3,USD,0.1,AI software tools,0.0411,70
free ai,Broad match,72,1,USD,0.2,ai software,0.0139,71
perplexity,Broad match,71,0,USD,0.0,AI development tools,0.0,71
leonardo ai,Broad match,69,0,USD,0.0,ai apps,0.0,69
civitai,Broad match,68,1,USD,0.08,AI development tools,0.0147,67
jibyte,Phrase match (close variant),66,1,USD,0.1,ai software,0.0152,65
ia para criar slides gratuito,Broad match,65,15,USD,0.32,ai software,0.2308,50
copilot,Broad match,65,0,USD,0.0,AI development assistant tools,0.0,65
ia programacion,Broad match,63,3,USD,0.25,ai software,0.0476,60
ai code,Broad match,60,3,USD,0.16,ai software,0.05,57
ai,Broad match,59,4,USD,0.12,ai software,0.0678,55
ai tools,Broad match,59,6,USD,0.39,ai software,0.1017,53
ai for coding,Phrase match (close variant),58,4,USD,0.23,ai software,0.069,54
deep ai,Broad match,58,1,USD,0.56,ai software,0.0172,57
inteligencia artificial gratis,Broad match,55,2,USD,0.42,ai software,0.0364,53
openai,Phrase match (close variant),53,1,USD,0.1,ai software,0.0189,52
best ai for coding,Phrase match (close variant),53,5,USD,0.22,ai software,0.0943,48
ia de programacion,Broad match,52,5,USD,0.17,ai software,0.0962,47
ai coding,Broad match,52,3,USD,0.16,ai software,0.0577,49
codegpt,Broad match,50,3,USD,0.35,coding ai,0.06,47
inteligencia artificial gratis,Broad match,50,12,USD,0.35,ai apps,0.24,38
ai software engineer,Exact match,50,4,USD,0.12,ai software engineer,0.08,46
decohere ai,Broad match,50,0,USD,0.0,AI software tools,0.0,50
crear imagenes con ia,Broad match,50,1,USD,0.1,AI software tools,0.02,49
jibyte,Broad match,49,2,USD,0.1,AI coding tools,0.0408,47
black box ai,Broad match,48,1,USD,0.1,ai software,0.0208,47
deepcode,Broad match,48,3,USD,0.27,ai software,0.0625,45
zzz code ai,Broad match,47,0,USD,0.0,ai apps,0.0,47
inteligencia artificial gratis,Broad match,47,4,USD,0.1,ai programs,0.0851,43
poly ai,Phrase match (close variant),47,3,USD,0.1,ai software,0.0638,44
gemini ai,Broad match,46,0,USD,0.0,ai software,0.0,46
code gpt,Broad match,46,4,USD,0.28,coding ai,0.087,42
ia para programadores,Broad match,46,6,USD,0.27,ai software,0.1304,40
creador de imagenes ia,Broad match,46,4,USD,0.1,AI software tools,0.087,42
haiper ai,Broad match,45,0,USD,0.0,AI software tools,0.0,45
ia generador de imagenes,Broad match,45,7,USD,0.1,AI software tools,0.1556,38
codegpt,Broad match,45,0,USD,0.0,AI coding tools,0.0,45
inteligencia artificial,Broad match,44,0,USD,0.0,coding ai,0.0,44
promeai,Broad match,44,2,USD,0.1,AI software tools,0.0455,42
open ai,Phrase match (close variant),43,1,USD,0.1,ai software,0.0233,42
leonardo ai,Broad match,41,1,USD,0.1,AI software tools,0.0244,40
code ai,Broad match,41,2,USD,0.43,ai tools,0.0488,39
app suno ai,Phrase match,41,1,USD,0.1,ai apps,0.0244,40
ia para programacion,Broad match,41,6,USD,0.26,ai software,0.1463,35
inteligencia artificial imagens,Broad match,40,10,USD,0.29,ai tools,0.25,30
krea ai,Broad match,40,1,USD,0.1,AI software tools,0.025,39
inteligencia artificial para programar,Broad match,40,2,USD,0.37,ai software,0.05,38
oasis decart ai,Broad match,40,10,USD,0.56,ai tools,0.25,30
taja ai,Broad match,39,1,USD,0.09,AI software tools,0.0256,38
askcodi,Broad match,39,2,USD,0.14,coding ai,0.0513,37
ideogram,Broad match,39,4,USD,0.36,AI software tools,0.1026,35
render ai,Broad match,39,1,USD,0.1,ai software,0.0256,38
ai humanizer,Broad match,39,4,USD,0.6,ai tools,0.1026,35
generar imagenes con ia,Broad match,38,4,USD,0.1,AI software tools,0.1053,34
imagica ai,Phrase match (close variant),38,2,USD,0.57,ai software,0.0526,36
figma ai,Broad match,38,0,USD,0.0,AI coding tools,0.0,38
kling ai,Broad match,38,3,USD,0.41,AI software tools,0.0789,35
ai tools,Exact match,37,1,USD,0.36,ai tools,0.027,36
ia para códigos de programação,Broad match,37,4,USD,0.25,ai programs,0.1081,33
ia gratis,Phrase match (close variant),37,5,USD,0.25,ai software,0.1351,32
generador de imagenes ia,Broad match,37,6,USD,0.1,AI software helper,0.1622,31
ia para generar imagenes,Broad match,36,4,USD,0.1,AI software tools,0.1111,32
poly ai,Broad match,36,2,USD,0.1,ai software,0.0556,34
outlier ai,Broad match,35,1,USD,0.19,AI software tools,0.0286,34
runwayml,Broad match,35,1,USD,0.09,ai apps,0.0286,34
python online compiler,Broad match,35,5,USD,0.1,AI coding tools,0.1429,30
domo ai app,Phrase match (close variant),35,3,USD,0.1,ai software,0.0857,32
code generator ai,Phrase match (close variant),35,3,USD,0.34,ai software,0.0857,32
hyper ai,Phrase match (close variant),35,1,USD,0.56,ai software,0.0286,34
ai image generator,Broad match,34,8,USD,0.1,ai apps,0.2353,26
ia para codigos de programacion,Broad match,33,0,USD,0.0,ai programs,0.0,33
sketch2code,Broad match,32,1,USD,0.23,coding ai,0.0312,31
crear imagenes con ia,Broad match,32,3,USD,0.09,AI software helper,0.0938,29
ia,Broad match,32,0,USD,0.0,ai software,0.0,32
ai programming,Broad match,32,3,USD,0.32,ai software,0.0938,29
ai,Broad match,31,1,USD,0.57,AI development aid,0.0323,30
ia code,Broad match,31,2,USD,1.0,ai programs,0.0645,29
artificial intelligence,Broad match,30,2,USD,0.1,ai apps,0.0667,28
mejor ia para programar,Broad match,30,1,USD,0.1,ai software,0.0333,29
ia para crear imagenes,Broad match,30,6,USD,0.1,AI software helper,0.2,24
flux ai,Broad match,30,1,USD,0.11,ai software,0.0333,29
krea ai,Phrase match (close variant),30,2,USD,0.1,ai software,0.0667,28
inteligencias artificiales,Broad match,30,0,USD,0.0,ai programs,0.0,30
ai tools for coding,Phrase match (close variant),29,4,USD,0.19,ai software,0.1379,25
polycoder,Broad match,29,0,USD,0.0,coding ai,0.0,29
inteligência artificial grátis,Broad match,29,7,USD,0.25,ai apps,0.2414,22
copilot ia,Broad match,29,0,USD,0.0,ai programs,0.0,29
cursor ai,Broad match,28,1,USD,0.64,ai software,0.0357,27
code copilot,Broad match,28,0,USD,0.0,ai software,0.0,28
fooocus ai,Broad match,28,0,USD,0.0,AI development tools,0.0,28
deepcode,Broad match,28,0,USD,0.0,coding ai,0.0,28
inteligencia artificial online,Broad match,27,2,USD,0.34,ai programs,0.0741,25
inteligência artificial gratuito,Broad match,27,6,USD,0.29,ai apps,0.2222,21
